"file","topic","sentiment","opinion","node"
"kandidat_36",3,"negative",-1,"topic_3_negative"
"kandidat_36",4,"positive",1,"topic_4_positive"
"kandidat_36",5,"negative",-1,"topic_5_negative"
"kandidat_36",6,"positive",1,"topic_6_positive"
"kandidat_36",7,"positive",1,"topic_7_positive"
"kandidat_36",8,"negative",-1,"topic_8_negative"
"kandidat_36",9,"negative",-1,"topic_9_negative"
"kandidat_36",10,"positive",1,"topic_10_positive"
"kandidat_37",1,"positive",1,"topic_1_positive"
"kandidat_37",2,"positive",1,"topic_2_positive"
"kandidat_37",3,"negative",-1,"topic_3_negative"
"kandidat_37",4,"positive",1,"topic_4_positive"
"kandidat_37",5,"negative",-1,"topic_5_negative"
"kandidat_37",6,"positive",1,"topic_6_positive"
"kandidat_37",7,"negative",-1,"topic_7_negative"
"kandidat_37",8,"positive",1,"topic_8_positive"
"kandidat_37",9,"negative",-1,"topic_9_negative"
"kandidat_37",10,"positive",1,"topic_10_positive"
"kandidat_38",1,"positive",1,"topic_1_positive"
"kandidat_38",2,"positive",1,"topic_2_positive"
"kandidat_38",3,"negative",-1,"topic_3_negative"
"kandidat_38",4,"positive",1,"topic_4_positive"
"kandidat_38",5,"negative",-1,"topic_5_negative"
"kandidat_38",6,"positive",1,"topic_6_positive"
"kandidat_38",7,"positive",1,"topic_7_positive"
"kandidat_38",8,"negative",-1,"topic_8_negative"
"kandidat_38",9,"negative",-1,"topic_9_negative"
"kandidat_38",10,"positive",1,"topic_10_positive"
"kandidat_39",1,"negative",-1,"topic_1_negative"
"kandidat_39",2,"positive",1,"topic_2_positive"
"kandidat_39",3,"negative",-1,"topic_3_negative"
"kandidat_39",4,"positive",1,"topic_4_positive"
"kandidat_39",5,"negative",-1,"topic_5_negative"
"kandidat_39",6,"positive",1,"topic_6_positive"
"kandidat_39",7,"positive",1,"topic_7_positive"
"kandidat_39",8,"positive",1,"topic_8_positive"
"kandidat_39",9,"negative",-1,"topic_9_negative"
"kandidat_39",10,"positive",1,"topic_10_positive"
"kandidat_40",1,"positive",1,"topic_1_positive"
"kandidat_40",2,"positive",1,"topic_2_positive"
"kandidat_40",3,"negative",-1,"topic_3_negative"
"kandidat_40",4,"positive",1,"topic_4_positive"
"kandidat_40",5,"positive",1,"topic_5_positive"
"kandidat_40",6,"positive",1,"topic_6_positive"
"kandidat_40",7,"positive",1,"topic_7_positive"
"kandidat_40",8,"positive",1,"topic_8_positive"
"kandidat_40",9,"negative",-1,"topic_9_negative"
"kandidat_40",10,"positive",1,"topic_10_positive"
"kandidat_41",1,"positive",1,"topic_1_positive"
"kandidat_41",2,"positive",1,"topic_2_positive"
"kandidat_41",3,"negative",-1,"topic_3_negative"
"kandidat_41",4,"positive",1,"topic_4_positive"
"kandidat_41",5,"negative",-1,"topic_5_negative"
"kandidat_41",6,"negative",-1,"topic_6_negative"
"kandidat_41",7,"positive",1,"topic_7_positive"
"kandidat_41",8,"positive",1,"topic_8_positive"
"kandidat_41",9,"negative",-1,"topic_9_negative"
"kandidat_41",10,"positive",1,"topic_10_positive"
"kandidat_42",1,"positive",1,"topic_1_positive"
"kandidat_42",2,"negative",-1,"topic_2_negative"
"kandidat_42",3,"negative",-1,"topic_3_negative"
"kandidat_42",4,"positive",1,"topic_4_positive"
"kandidat_42",5,"negative",-1,"topic_5_negative"
"kandidat_42",6,"positive",1,"topic_6_positive"
"kandidat_42",7,"positive",1,"topic_7_positive"
"kandidat_42",8,"negative",-1,"topic_8_negative"
"kandidat_42",9,"negative",-1,"topic_9_negative"
"kandidat_42",10,"positive",1,"topic_10_positive"
"kandidat_43",1,"positive",1,"topic_1_positive"
"kandidat_43",2,"positive",1,"topic_2_positive"
"kandidat_43",3,"negative",-1,"topic_3_negative"
"kandidat_43",4,"positive",1,"topic_4_positive"
"kandidat_43",5,"positive",1,"topic_5_positive"
"kandidat_43",6,"positive",1,"topic_6_positive"
"kandidat_43",7,"positive",1,"topic_7_positive"
"kandidat_43",8,"negative",-1,"topic_8_negative"
"kandidat_43",9,"positive",1,"topic_9_positive"
"kandidat_43",10,"positive",1,"topic_10_positive"
"kandidat_44",1,"positive",1,"topic_1_positive"
"kandidat_44",2,"positive",1,"topic_2_positive"
"kandidat_44",3,"negative",-1,"topic_3_negative"
"kandidat_44",4,"positive",1,"topic_4_positive"
"kandidat_44",5,"negative",-1,"topic_5_negative"
"kandidat_44",6,"negative",-1,"topic_6_negative"
"kandidat_44",7,"positive",1,"topic_7_positive"
"kandidat_44",8,"positive",1,"topic_8_positive"
"kandidat_44",9,"negative",-1,"topic_9_negative"
"kandidat_44",10,"negative",-1,"topic_10_negative"
"kandidat_45",1,"positive",1,"topic_1_positive"
"kandidat_45",2,"positive",1,"topic_2_positive"
"kandidat_45",3,"negative",-1,"topic_3_negative"
"kandidat_45",4,"positive",1,"topic_4_positive"
"kandidat_45",5,"negative",-1,"topic_5_negative"
"kandidat_45",6,"positive",1,"topic_6_positive"
